Key,japanese
armorBikerOutfitDesc,ミディアムアーマー\n簡単に顔を攻撃にさらすことができます。ヘルスポイントの数が増加します。\n\nフルセットボーナス:野生動物や放射性ゾンビを倒すと追加の経験値が得られます。
armorBikerGlovesDesc,ミディアムアーマー\n反撃しないでください-それで何が?こん棒や大ハンマーの攻撃速度が増加します。\n\nフルセットボーナス:野生動物や放射性ゾンビを倒すと追加の経験値が得られます。
armorBikerBootsDesc,中装甲\n移動手段がないと、手がないのと同じ。車両の燃料消費量を削減します。\n\nフルセットボーナス:凶暴なゾンビや放射能汚染されたゾンビを倒すと、追加の経験値が得られます。
buffBikerSetBonusTooltip,バイカーフルセットボーナスが有効です
buffBikerSemiSetBonusTooltip,バイカーセミセットボーナス有効
buffBikerSetBonusDesc,より強い敵の愛好家。\n\n野生動物と放射性ゾンビを倒した経験値が{cvar(.armorBikerFSBDisplay:0)}%増加しました
buffBikerSemiSetBonusDesc,たとえ不完全なバイカーセットであっても、あなたはより強い敵のファンです。\n\n野生ゾンビと感染ゾンビを倒した経験値が{cvar(.armorSemiBikerFSBDisplay:0)}%増加しました
armorScavengerOutfitDesc,中装甲\nやってみないと何ができるかわかりません。回収速度、入手アイテム数、所持重量が増加します。\n\nフルセットボーナス:より高品質の戦利品を見つけます。
buffScavengerSetBonusTooltip,スカベンジャーフルセットボーナスが有効です
buffScavengerSemiSetBonusTooltip,スカベンジャーセミセットボーナスが有効です
buffScavengerSemiSetBonusDesc,たとえ不完全なスカベンジャーセットであっても、あなたは他人の視線を逃れることができる貴重なリソースを見つける鋭い目を持っています。\n\n品質が{cvar(.armorSemiScavengerFSBDisplay:0)}%高い戦利品を見つけます。
armorRangerHelmetDesc,中装甲\nレンジャーは冷酷な交渉人であり、特に精巧に作られた帽子を被っているときはなおさらです。交渉力が向上します。\n\nフルセットボーナス:与えるダメージ全てが増加し、[DECEA3]1[-]放射線効果に対する耐性が付与されます。
armorRangerOutfitDesc,中装甲\n自然は精神力だけでなく肉体力も教えてくれる。体力ポイントが増加する。\n\nフルセットボーナス:与えるダメージ全てが増加し、[DECEA3]1[-]放射線効果に対する耐性が付与される。
armorRangerGlovesDesc,中装甲\nこの快適なグローブは、あらゆる武器を素早く扱うことを可能にします。武器のリロード速度が向上します。\n\nフルセットボーナス:与えるダメージがすべて増加し、[DECEA3]1[-]放射線効果に対する耐性が付与されます。
armorRangerBootsDesc,中装甲\n野生での生存成功の鍵は耐久力です。スタミナが増加します。\n\nフルセットボーナス:与えるダメージがすべて増加し、[DECEA3]1[-]放射線効果に対する耐性が付与されます。
buffRangerSetBonusTooltip,レンジャーフルセットボーナス有効
buffRangerSemiSetBonusTooltip,レンジャーセミセットボーナス有効
buffRangerSetBonusDesc,どのような状況でも生き残る能力により、どのような天候でも、どのような武器でも与えるダメージが増加します。\n\nすべての遠距離ダメージが{cvar(.armorRangerFSBDisplay:0)}%増加します\n1つのアクティブな放射線効果に対する耐性を与えます。
buffRangerSemiSetBonusDesc,レンジャーセットが不完全であっても、どのような天候でも、どの武器でも与えるダメージが増加します。\n\nすべての遠距離ダメージが{cvar(.armorSemiRangerFSBDisplay:0)}%増加します。
armorCommandoHelmetDesc,中装甲\n厳しい訓練と負傷は無駄ではなかった。あなたの傷は犬のようにすぐに治る。\n\nフルセットボーナス:自動武器によるダメージが増加します。
armorCommandoOutfitDesc,ミディアムアーマー\n真のコマンドーはひるむことなく耐えます。致命傷の回復が速くなります。\n\nフルセットボーナス:自動武器によるダメージが増加します。
armorCommandoGlovesDesc,中装甲\n優れた射手は武器の分解と組み立てを容易に行い、リロードのプロセスを完璧に習得しています。自動武器のリロード速度が向上します。\n\nフルセットボーナス:自動武器のダメージが増加します。
armorCommandoBootsDesc,ミディアムアーマー\nこれらの靴は、最も挑戦的な障害物コースに適しています。安全な落下高さが増加します。\n\nフルセットボーナス:自動武器によって与えられるダメージが増加します。
buffCommandoSetBonusTooltip,コマンドーフルセットボーナスが有効です
buffCommandoSemiSetBonusTooltip,コマンドーセミセットボーナスが有効です
buffCommandoSetBonusDesc,あなたの武器は機関銃と短機関銃です。これらを使えば驚くべきことができます。\n\n自動武器によるダメージが{cvar(.armorCommandoFSBDisplay:0)}%増加しました
buffCommandoSemiSetBonusDesc,不完全なコマンドーセットであっても、武器はマシンガンとアサルトライフルです。これらを使用すると、驚異的な効果を得ることができます。\n\n自動武器によるダメージは{cvar(.armorSemiCommandoFSBDisplay:0)}%増加します。
armorAssassinHelmetDesc,ミディアムアーマー\n彼らはそれが来るのを決して見ることはありません。スニーク時に与えるダメージが増加します。\n\nフルセットボーナス:スナイパーライフルで与えるダメージが増加します。
armorAssassinOutfitDesc,ミディアムアーマー\n見えず、聞こえず、無傷で移動します。スニークの有効性が増加します。\n\nフルセットボーナス:スナイパーライフルによって与えられるダメージが増加します。
armorAssassinGlovesDesc,ミディアムアーマー\n静かに-しかし非常に素早く。スナイパーライフルの発射速度とリロード速度が増加します。\n\nフルセットボーナス:スナイパーライフルによって与えられるダメージが増加します。
armorAssassinBootsDesc,ミディアムアーマー\n静かだが致命的。スニーク中にダッシュしても余分な音は鳴りません。\n\nフルセットボーナス:スナイパーライフルで与えるダメージが増加します。
buffAssassinSetBonusTooltip,暗殺者フルセットボーナスが有効です
buffAssassinSemiSetBonusTooltip,暗殺者セミセットボーナス有効
buffAssassinSetBonusDesc,隠れた殺人者はターゲットを簡単に見つけて排除できます。これに匹敵するものはありません。\n\nスナイパーライフルによるダメージが{cvar(.armorAssassinFSBDisplay:0)}%増加しました
buffAssassinSemiSetBonusDesc,たとえ不完全なセットであっても、暗殺者はターゲットを簡単に見つけて排除することができます。これに匹敵するものはありません。\n\nスナイパーライフルによって与えられるダメージは{cvar(.armorSemiAssassinFSBDisplay:0)}%増加します。
armorMinerHelmetDesc,ヘビーアーマー\n地雷に登るときに重要なことは、帰り道を覚えておくことです。鉱石採掘時に得られる経験値が増加します。\n\nフルセットボーナス:採掘される鉱石の量が増加します。
armorMinerOutfitDesc,重装甲\nツールはいつでもすぐに修理できます。そのため、頻繁に故障しません。\n\nフルセットボーナス:採掘できる鉱石の量が増加します。
armorMinerGlovesDesc,重装甲\nあちこちに少しずつ削れば、どんな鉱脈でも崩れる。採掘ツールのブロックダメージが増加する。\n\nフルセットボーナス:採掘できる鉱石の量が増える。
armorMinerBootsDesc,ヘビーアーマー\nこのような装備があれば、足元の石は問題になりません。つるはし使用時のスタミナ消費を軽減します。\n\nフルセットボーナス:採掘される鉱石の量が増加します。
buffMinerSetBonusTooltip,鉱夫フルセットボーナスが有効です
buffMinerSemiSetBonusTooltip,鉱夫セミセットボーナスが有効です
buffMinerSetBonusDesc,経験豊富な鉱夫は、もう少し多くの鉱石を手に入れる方法を知っています。\n\n採掘された鉱石の量は{cvar(.armorMinerFSBDisplay:0)}%増加しました。
buffMinerSemiSetBonusDesc,マイナーセットが不完全でも、もう少し鉱石を採掘する方法はご存知でしょう。\n\n採掘される鉱石の量は{cvar(.armorSemiMinerFSBDisplay:0)}%増加しました。
armorNomadHelmetDesc,重装甲\n荒野の過酷な環境から身を守るこのヘッドギアは、ノマドがより遠くまで旅することを可能にします。食料と水の消費量を減らします。\n\nフルセットボーナス:ショットガンのダメージを増加させ、[DECEA3]1[-]放射線効果に対する耐性を与えます。
armorNomadOutfitDesc,重装甲\nどんな旅でも何が起こるかわからない。重要なのは、素早く回復して先に進む能力だ。重傷からの回復が速くなる。\n\nフルセットボーナス:ショットガンのダメージが増加し、[DECEA3]1[-]放射線効果に対する耐性が付与される。
armorNomadGlovesDesc,重装甲\n夜を過ごすために家に入ると、必ず誰かがいます。ショットガンの連射速度とリロード速度が向上します。\n\nフルセットボーナス:ショットガンのダメージが増加し、[DECEA3]1[-]放射線効果に対する耐性が付与されます。
armorNomadBootsDesc,重装甲\n山を這って進むときは、下を見ない方が良い。安全な落下高さが増加する。\n\nフルセットボーナス:ショットガンのダメージが増加し、[DECEA3]1[-]放射線効果に対する耐性が付与される。
buffNomadSetBonusTooltip,遊牧民フルセットボーナスが有効です
buffNomadSemiSetBonusTooltip,遊牧民セミセットボーナス有効
buffNomadSetBonusDesc,これはテントの外のゲストに提供できる最高のものです。\n\nショットガンによるダメージが{cvar(.armorNomadFSBDisplay:0)}%増加します\n1つのアクティブな放射線効果に対する耐性を与えます。
buffNomadSemiSetBonusDesc,フルセットがなくても、テントの外にいるゲストに何を提供できるかはわかります。\n\nショットガンによるダメージが{cvar(.armorSemiNomadFSBDisplay:0)}%増加しました。
armorNerdHelmetDesc,重装甲\nデートに誘われることはないかもしれませんが、スキルを磨くことができます。経験値の獲得量が増加します。\n\nフルセットボーナス:[DECEA3]「知性」[-]属性からのダメージが増加します。
armorNerdOutfitDesc,重装甲\nファッションセンスの欠如により、発明に集中できます。雑誌を読むと、クラフトスキルポイントを2ポイント獲得するチャンスが追加されます。\n\nフルセットボーナス:[DECEA3]「知性」[-]属性からのダメージが増加します。
armorNerdGlovesDesc,重装甲\n繊細な手を寒さから守り、知的な猛者になりましょう。知力ベースの武器での攻撃速度が上昇します。\n\nフルセットボーナス:[DECEA3]「知力」[-]属性からのダメージが増加します。
armorNerdBootsDesc,重装甲\n遠い学生時代は無駄ではなかった。君は確かに逃げ方を学んだ。走行速度が上昇する。\n\nフルセットボーナス:[DECEA3]「知性」[-]属性からのダメージが増加する。
buffNerdSetBonusTooltip,オタクフルセットボーナスが有効です
buffNerdSemiSetBonusTooltip,オタクセミセットボーナス有効
buffNerdSetBonusDesc,ロボットは貴重な毛皮であるだけでなく...\n\n[DECEA3]「知能」[-]属性によるダメージが{cvar(.armorNerdFSBDisplay:0)}%増加します
buffNerdSemiSetBonusDesc,不完全なオタクセットであっても、ロボットは貴重な毛皮であるだけでなく...\n\n[DECEA3]«知能»[-]属性によって与えられるダメージは{cvar(.armorSemiNerdFSBDisplay:0)}%増加します
armorRaiderHelmetDesc,ヘビーアーマー\nおばあちゃんの軟膏は驚異的に効きます。受ける治癒速度が増加します。\n\nフルセットボーナス:すべての近接ダメージが増加します。
armorRaiderOutfitDesc,ヘビーアーマー\nおっと。腕が折れていることにすぐには気づきませんでした。重大な傷の回復率が増加します。\n\nフルセットボーナス:すべての近接ダメージが増加します。
armorRaiderGlovesDesc,ヘビーアーマー\nそれでは、一度に1つずつ来てください。誰にとっても十分です。近接攻撃速度が増加します。\n\nフルセットボーナス:すべての近接ダメージが増加します。
armorRaiderBootsDesc,ヘビーアーマー\n右にステップ、左にステップ。敵の攻撃を簡単に回避し、スタミナの消費を減らします。\n\nフルセットボーナス:すべての近接ダメージが増加します。
buffRaiderSetBonusTooltip,レイダーフルセットボーナスが有効です
buffRaiderSemiSetBonusTooltip,レイダーセミセットボーナス有効
buffRaiderSetBonusDesc,近接戦闘では無敵です。\n\n近接ダメージが{cvar(.armorRaiderFSBDisplay:0)}%増加しました。
buffRaiderSemiSetBonusDesc,不完全なレイダーセットでも、近接戦闘では無敵です。\n\n近接ダメージが{cvar(.armorSemiRaiderFSBDisplay:0)}%増加しました。
questRewardSkillMagazineBundleT3,クラフトスキル雑誌[DECEA3]スモールバンドル[-]
questRewardSkillMagazineBundleT4,クラフトスキル雑誌[DECEA3]ミディアムバンドル[-]
questRewardSkillMagazineBundleT5,クラフトスキル雑誌[DECEA3]大型バンドル[-]
questRewardSkillMagazineBundleT6,クラフトスキル雑誌[DECEA3]超大型バンドル[-]
questRewardFoodBundleT3,食料と水[DECEA3]小型バンドル[-]
questRewardFoodBundleT4,食料と水[DECEA3]中型バンドル[-]
questRewardFoodBundleT5,食料と水[DECEA3]大型バンドル[-]
questRewardFoodBundleT6,食料と水[DECEA3]巨大バンドル[-]
questRewardVehicleBundleT3,ミニバイクパーツ
questRewardVehicleBundleT4,バイクパーツ
questRewardVehicleBundleT5,トラック4x4パーツ
questRewardVehicleBundleT6,ジャイロコプター部品
questRewardMagazineBundleT3Desc,[DECEA3]3[-]個のランダムなクラフトスキル雑誌の小さなバンドル。\n各雑誌の[DECEA3]3[-]コピーが含まれています。
questRewardMagazineBundleT4Desc,[DECEA3]3[-]個のランダムなクラフトスキル雑誌の中型バンドル。\n各雑誌が[DECEA3]4[-]個ずつ含まれています。
questRewardMagazineBundleT5Desc,[DECEA3]3[-]個のランダムなクラフトスキル雑誌の大きなバンドル。\n各雑誌の[DECEA3]5[-]コピーが含まれています。
questRewardMagazineBundleT6Desc,[DECEA3]4[-]個のランダムなクラフトスキル雑誌の巨大なバンドル。\n各雑誌の[DECEA3]5[-]コピーが含まれています。
questRewardFoodBundleT3Desc,小さな食料と水の束。
questRewardFoodBundleT4Desc,[DECEA3]«週間家庭料理»[-]誌の中型セット。食品と飲料水も含まれています。
questRewardFoodBundleT5Desc,[DECEA3]«週間家庭料理»[-]誌の大量セット。食品と飲料水も含まれています。
questRewardFoodBundleT6Desc,[DECEA3]«週間家庭料理»[-]誌の大量セット。食品と飲料水も含まれています。
questRewardVehicleBundleT3Desc,ミニバイクのパーツの一つ。
questRewardVehicleBundleT4Desc,バイクのパーツの一つ。
questRewardVehicleBundleT5Desc,4WDトラックの部品の一つ。
questRewardVehicleBundleT6Desc,ジャイロコプターの部品の一つ。
BuffDevourerAOEName,デバウアーが近い
BuffDevourerAOETooltip,デバウアーが捜索中
BuffDevourerAOEIncDesc,経験豊富な放浪者の悪夢の中で、彼のことを聞いたことがあるでしょう。今、彼はここにいます。この生き物を見ただけで、魂が凍りつき、意志が麻痺します。この恐怖に正面から立ち向かう覚悟がないなら、立ち去れ！\n\n[FFB800]特殊特性:[-]\nこの生き物は決して単独で行動せず、危険な時には手下を召喚することができます。\n近くにいる間、毎秒正気度がわずかに低下します。\n\n視界が暗くなり、すべてが回転し始めます。しかし、あなたはまだ逃げることができます!!!
BuffBearDaddyAOE,ベアダディ
BuffBearDaddyAOEName,ベアダディが近い
BuffBearDaddyAOETooltip,ベアダディが捜索中
BuffBearDaddyAOEIncDesc,あなたは経験豊富な放浪者の悪夢の中で彼のことを聞いたことがあるでしょう。今、彼はここにいます。この生き物を見るだけであなたは恐怖に震えます。この恐怖に正面から立ち向かう準備ができていないなら、立ち去りなさい！\n\n[FFB800]特殊特性:[-]\nベア・ダディは決して一人で歩きません。危険を察知すると、手下を呼び出すことができます。\n近くにいる間、毎秒正気度がわずかに低下します。\n\n足がまだ動く方法を覚えているうちに、逃げなさい。
BuffGargulAOE,ガーグル
BuffGargulAOEName,ガーグルが近い
BuffGargulAOETooltip,ガーグルが捜索中
BuffGargulAOEIncDesc,焚き火の周りで彼の噂が囁かれていた。今、彼はここにいる。彼の爪は長い影を落とし、彼の息は腐った肺の臭いがする。心が裏切られているのを感じる――心臓は喉で激しく鼓動し、指は痺れ、こめかみにはただ一つの考えだけが響く……\n逃げろ。手遅れになる前に。\n\n[FFB800]特殊特性:[-]\nガルグルは決して一人では飛ばない。危険が迫ると、彼は仲間を呼ぶ。\n彼のそばにいると、あなたはゆっくりと狂気に陥る。正気は一秒ごとに失われていく。\n\n逃げろ。足がまだ言うことを聞くうちに。
BuffBullAOE,ブル
BuffBullAOEName,ブルが近い
BuffBullAOETooltip,ブルが捜索中
BuffBullAOEIncDesc,屈強な男と雄牛を掛け合わせるとどうなる？今、その答えが目の前に現れた――それは肉と怒りの悪夢だ。この生物は疲労を知らず、その攻撃はあらゆる防御を粉砕する。一撃直撃で終わりだ。戦闘に挑む前に三度考えろ。\n\n[FFB800]特殊特性:[-]\nボスがダメージを受けると、狂乱状態になる。移動速度が[DECEA3]50%[-]増加し、攻撃頻度が[DECEA3]60%[-]増加し、攻撃を受けるたびにダウンする。ただし、この状態ではダメージ耐性が[DECEA3]30%[-]減少する。\nボスは定期的に完全防御モードに入り、周囲に危険な放射線ゾーンを生成する。この状態では、あらゆる種類の攻撃に対して完全に無敵となる。\n\n明かりが消え、現実が歪む。しかし、生存本能はただ一つを叫んでいる。「自分の命を守れ！骨がまだ無事なうちに！」
BuffShockerAOE,ショッカー
BuffShockerAOEName,ショッカーが近い
BuffShockerAOETooltip,ショッカーが捜索中
BuffShockerAOEIncDesc,放射線を浴びたゾンビをグリッドに接続するとどうなるでしょうか？どうやら、誰かがこの狂気の実験を行ったようです！今やこの生物は致命的な放電を発しています。ほんの少し近づくだけでも、死の危険にさらされます。\n\n[FFB800]特殊特性:[-]\nボスがダメージを受けると、狂乱状態になります。移動速度が[DECEA3]50%[-]増加し、攻撃頻度が[DECEA3]60%[-]増加し、攻撃を受けるたびにダウンします。しかし、この状態ではダメージ耐性が[DECEA3]30%[-]減少するため、反撃のチャンスが生まれます。\nボスは定期的に完全防御モードに入り、周囲に危険な放射線ゾーンを作り出します。この状態では、あらゆる種類の攻撃に対して完全に無敵になります。\n\n空気が静電気でパチパチと音を立て、髪の毛が逆立ち、体が痙攣します。放電で心臓が止まる前に退却してください！
BuffVeteranAOE,ベテラン
