Key,File,Type,UsedInMainMenu,english
itemAECSheriffMinionPart4star_desc,,, ,"A 4-star sheriff minion trophy part. Hard to find and highly valued."
itemAECSheriffMinionPart5star,,, ,"[FF0000]AEC[-] [B45A3C]Sheriff Minion Part 5 Stars[-]"
itemAECSheriffMinionPart5star_desc,,, ,"A 5-star sheriff minion trophy part. Top-tier piece with maximum trade value."
buffAECSheriffPlayerAura,buffs,Buff,false,"Sheriff's Aura"
buffAECSheriffPlayerAuraDesc,buffs,Buff,false,"The Sheriff's presence drains your stamina."
Doomlord,entityclasses,Entity,false,"Doomlord"
DoomlordDemolishman,entityclasses,Entity,false,"Doomlord Demolishman"
AECDoomlordDemolishmanBoss,entityclasses,Entity,false,"Doomlord Demolishman Boss"
AECDoomlordDemolishmanMinion,entityclasses,Entity,false,"Doomlord Minion"
AECDemolishmanMinion01,entityclasses,Entity,false,"Doomlord Minion01 Grenadier"
AECDemolishmanMinion02,entityclasses,Entity,false,"Doomlord Minion02 Rocket"
AECDemolishmanMinion03,entityclasses,Entity,false,"Doomlord Minion03 Pistol"
AECDemolishmanMinion04,entityclasses,Entity,false,"Doomlord Minion04 Shotgun"
AECDemolishmanMinion05,entityclasses,Entity,false,"Doomlord Minion05 Sniper"
AECDemolishmanMinion06,entityclasses,Entity,false,"Doomlord Minion06 Magnum"
AECDemolishmanMinion07,entityclasses,Entity,false,"Doomlord Minion07 Knife"
DoomlordBossLootBag,entityclasses,Entity,false,"Doomlord Boss Loot Bag"
DoomlordMinion01LootBag,entityclasses,Entity,false,"Doomlord Grenadier Loot Bag"
DoomlordMinion02LootBag,entityclasses,Entity,false,"Doomlord Rocket Loot Bag"
DoomlordMinion03LootBag,entityclasses,Entity,false,"Doomlord Pistol Loot Bag"
DoomlordMinion04LootBag,entityclasses,Entity,false,"Doomlord Shotgun Loot Bag"
DoomlordMinion05LootBag,entityclasses,Entity,false,"Doomlord Sniper Loot Bag"
DoomlordMinion06LootBag,entityclasses,Entity,false,"Doomlord Magnum Loot Bag"
DoomlordMinion07LootBag,entityclasses,Entity,false,"Doomlord Knife Loot Bag"
DoomlordMinionBaseLootBag,entityclasses,Entity,false,"Doomlord Minion Loot Bag"
questAECDoomlordHordeMinion_name,quests,,false,[FF4500]ドゥームロード・ミニオン・ホード[-]
questAECDoomlordHordeMinion_subtitle,quests,,false,ドゥームロードT3ホード
questAECDoomlordHordeMinion_description,quests,,false,集結を発動し、おとりを配置したら、ドゥームロード基地のミニオンの3波を全滅させろ。
questAECDoomlordHordeMinion_offer,quests,,false,この地域にドゥームロードの手下たちが集結しているとの報告が入りました。集結を発動し、おとりを設置し、3波の襲撃に備えましょう。
questAECDoomlordHordeMinion_statement,quests,,false,ドゥームロードの手下を３波すべて殲滅せよ。
questAECDoomlordHordeMinion_response,quests,,false,AECホード - [FF4500]ドゥームロード・ミニオン・ホード[-]
questAECDoomlordHordeMinion_completion,quests,,false,よくやった。３波を撃退したぞ。ご褒美だ。
itemAECDoomlordContract_Minion,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Minion Horde[-]"
itemAECDoomlordContract_Minion_desc,,,false,"Contract: Eliminate five waves of Doomlord base minions."
eventAECDoomlordArrival_Minion_msg,,,false,"Doomlord minions are closing in — get ready!"
questAECDoomlordHordeGrenadier_name,quests,,false,[FF4500]グレネーダー・ホード[-]
questAECDoomlordHordeGrenadier_subtitle,quests,,false,ドゥームロードT3ホード
questAECDoomlordHordeGrenadier_description,quests,,false,集結を発動し、シグナルルアーを設置した後、ドゥームロードグレネーダーの3波を撃破する。
questAECDoomlordHordeGrenadier_offer,quests,,false,インテルによると、ドゥームロードがグレネード部隊をこちらに送り込んでいるとのこと。集結を発動し、シグナルルアーを設置して、3ウェーブの間持ちこたえろ。君なら対処できると思うか？
questAECDoomlordHordeGrenadier_statement,quests,,false,信号弾を発射して、擲弾兵の3波すべてを殲滅する。
questAECDoomlordHordeGrenadier_response,quests,,false,AECホード - [FF4500]グレネーダー・ホード[-]
questAECDoomlordHordeGrenadier_completion,quests,,false,悪くない。あの擲弾兵たちはもう奇襲攻撃を仕掛けてこないだろう。
aecQuestSignalLure,blocks,Block,false,"AEC Signal Lure"
aecQuestSignalLureDesc,blocks,Block Desc,false,"Quest item. Place this lure after activating the rally point to draw the enemy waves to your position."
aecQuestAllInOneLure,blocks,Block,false,"All-In-One Lure"
aecQuestAllInOneLureDesc,blocks,Block Desc,false,"Quest item. Place this reinforced lure to trigger The All-In-One Hunt and pull every marked boss pair onto your position."
aecQuestRelay,blocks,Block,false,"[FFD700]AEC[-] Contract Relay"
aecQuestRelayDesc,blocks,Block Desc,false,"A salvaged radio converted into an AEC contract terminal. Use it to summon the Huntmaster and access AEC-only contracts."
aecPortableAmmoWorkshop,blocks,Block,false,"[00E5FF]AEC[-] Portable Ammo Workshop"
aecPortableAmmoWorkshopDesc,blocks,Block Desc,false,"Portable AEC ammo bench with a table saw shell. Place it, craft unlocked workbench munitions."
dialogAECQuestGiverStart,dialogs,,false,あなたの役職を明記してください。私はAEC（建築・エンジニアリング・建設）関連の契約のみを取り扱っています。
dialogAECQuestGiverQuest,dialogs,,false,AECの契約書を見せてください。
dialogAECQuestGiverQuestTier1,dialogs,,false,ティア1のAEC契約を見せてください。
dialogAECQuestGiverQuestTier2,dialogs,,false,ティア2のAEC契約を見せてください。
dialogAECQuestGiverQuestTier3,dialogs,,false,ティア3のAEC契約を見せてください。
dialogAECQuestGiverQuestTier4,dialogs,,false,ティア4のAEC契約を見せてください。
dialogAECQuestGiverQuestTier5,dialogs,,false,ティア5のAEC契約を見せてください。
dialogAECQuestGiverQuestTier6,dialogs,,false,ティア6のAEC契約を見せてください。
dialogAECQuestGiverQuestList,dialogs,,false,階層を選択してください。最深部には伝説の契約書も含まれています。
dialogAECQuestGiverQuestInProgress,dialogs,,false,私は既に契約を結んでいます。
dialogAECQuestGiverQuestInProgressNext,dialogs,,false,それを完成させてから戻ってきてください。私は建築・エンジニアリング・建設の仕事はまとめて引き受けません。
dialogAECQuestGiverDisableQuesting,dialogs,,false,現時点では契約はありません。
dialogAECQuestGiverDisableQuestingNext,dialogs,,false,現在、クエストを進めることができません。まず、その問題を解決してください。
npcAecQuestGiver,entityclasses,Entity,false,"AEC Huntmaster"
AECQuestGiverNPC,entityclasses,Entity,false,"AEC Huntmaster"
questAECDoomlordHordeRocket_name,quests,,false,[FF4500]ロケット団[-]
questAECDoomlordHordeRocket_subtitle,quests,,false,ドゥームロードT3ホード
questAECDoomlordHordeRocket_description,quests,,false,ラリーを発動し、おとりを設置したら、縮小されたドゥームロード・ロケットトルーパーの3つの波を撃破してください。散開状態を維持してください。
questAECDoomlordHordeRocket_offer,quests,,false,ロケット部隊が接近中。集結を発動し、おとりを投下し、規模は縮小されたものの容赦ない3波の攻撃に備えよ。密集するな。
questAECDoomlordHordeRocket_statement,quests,,false,そしてロケット軍団を無力化する。
questAECDoomlordHordeRocket_response,quests,,false,AECホード - [FF4500]ロケット軍団[-]
questAECDoomlordHordeRocket_completion,quests,,false,よくやった。標的は少ないが、爆発範囲は相当なものだ。
questAECDoomlordHordePistol_name,quests,,false,[FF4500]ピストル部隊[-]
questAECDoomlordHordePistol_subtitle,quests,,false,ドゥームロードT3ホード
questAECDoomlordHordePistol_description,quests,,false,ラリーを発動し、おとりを設置したら、ドゥームロード・ピストル兵の3波を撃破せよ。素早く、そして多数。
questAECDoomlordHordePistol_offer,quests,,false,拳銃部隊があなたの担当区域に展開しています。集結を促し、おとりを仕掛け、3つの波状攻撃を生き延びてください。
questAECDoomlordHordePistol_statement,quests,,false,中に入って、ラリーを起動し、ルアーを設置し、ピストルの3つのウェーブすべてをクリアしてください。
questAECDoomlordHordePistol_response,quests,,false,AECホード - [FF4500]ピストル部隊[-]
questAECDoomlordHordePistol_completion,quests,,false,拳銃部隊を無力化しました。お見事。
questAECDoomlordHordeShotgun_name,quests,,false,[FF4500]ショットガンラッシュ[-]
questAECDoomlordHordeShotgun_subtitle,quests,,false,ドゥームロードT3防衛
questAECDoomlordHordeShotgun_description,quests,,false,まず重要地点を制圧し、その後、ドゥームロード・ショットガン兵の3波の攻撃を食い止めろ。
questAECDoomlordHordeShotgun_offer,quests,,false,ショットガンラッシュが現地地点に迫っています。3波に分かれて陣地を防衛してください。
questAECDoomlordHordeShotgun_statement,quests,,false,現場に到着し、ショットガンラッシュを食い止めろ。
questAECDoomlordHordeShotgun_response,quests,,false,AECホード ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]
questAECDoomlordHordeShotgun_completion,quests,,false,ラッシュは終わった。素晴らしい守備だった。
questAECDoomlordHordeSniper_name,quests,,false,[FF4500]スナイパーネスト[-]
questAECDoomlordHordeSniper_subtitle,quests,,false,ドゥームロードT3ホード
questAECDoomlordHordeSniper_description,quests,,false,ラリーを発動し、おとりを設置したら、ドゥームロード・スナイパーの3波を撃破せよ。常に動き回り、敵を仕留めろ。
questAECDoomlordHordeSniper_offer,quests,,false,優秀なスナイパーたちが陣地を固めている。集結を促し、おとりを設置し、エリアが封鎖される前に3波の敵を撃退せよ。
questAECDoomlordHordeSniper_statement,quests,,false,前進し、集結を発動し、おとりを設置し、3つの波状攻撃でスナイパーの巣を制圧せよ。
questAECDoomlordHordeSniper_response,quests,,false,AECホード - [FF4500]スナイパーネスト[-]
questAECDoomlordHordeSniper_completion,quests,,false,巣は片付きました。動き回っていたのはよくできました。
questAECDoomlordHordeMagnum_name,quests,,false,[FF4500]マグナムガード[-]
questAECDoomlordHordeMagnum_subtitle,quests,,false,ドゥームロードT3防衛
questAECDoomlordHordeMagnum_description,quests,,false,まず重要地点を制圧し、その後、ドゥームロード・マグナムガードの3波の攻撃を食い止めろ。
questAECDoomlordHordeMagnum_offer,quests,,false,マグナムガードが現場に展開中。3つの強力な波状攻撃――持ちこたえろ。
questAECDoomlordHordeMagnum_statement,quests,,false,マグナムガードの3つの波状攻撃から拠点を防衛せよ。
questAECDoomlordHordeMagnum_response,quests,,false,AECホード ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]
questAECDoomlordHordeMagnum_completion,quests,,false,マグナムガードを撃退。持ちこたえた。
questAECDoomlordHordeKnife_name,quests,,false,[FF4500]ナイフランナーズ[-]
questAECDoomlordHordeKnife_subtitle,quests,,false,ドゥームロードT3防衛
questAECDoomlordHordeKnife_description,quests,,false,まず重要地点を制圧し、その後、ドゥームロード・ナイフランナーの3波の攻撃を食い止めろ。
questAECDoomlordHordeKnife_offer,quests,,false,ナイフを持った密輸業者が地元の現場に押し寄せている。近接戦闘を仕掛ける狂人たちが3波に渡って襲いかかってくる。
questAECDoomlordHordeKnife_statement,quests,,false,ナイフランナーの3つの波状攻撃から拠点を守れ。
questAECDoomlordHordeKnife_response,quests,,false,AECホード ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]
questAECDoomlordHordeKnife_completion,quests,,false,かすり傷一つない。あのランナーたちに勝ち目はなかった。
questAECDoomlordHordeDemo_name,quests,,false,[FFAA00]デモ部隊[-]
questAECDoomlordHordeDemo_subtitle,quests,,false,ドゥームロードT4混合ホード
questAECDoomlordHordeDemo_description,quests,,false,集結を発動し、おとりを設置したら、グレネード兵とロケット弾による3回の攻撃を生き延びろ。すべての標的は致命的だ。
questAECDoomlordHordeDemo_offer,quests,,false,デモ部隊展開。集結を促し、おとりを投下し、手榴弾とロケット弾の混射に備えよ。距離を保て。
questAECDoomlordHordeDemo_statement,quests,,false,ラリーを発動し、おとりを設置し、3つの波状攻撃でデモ部隊を無力化せよ。
questAECDoomlordHordeDemo_response,quests,,false,AECホード - [FFAA00]デモ部隊[-]
questAECDoomlordHordeDemo_completion,quests,,false,デモ部隊は全滅した。指は全部無事か？
questAECDoomlordHordeFrontline_name,quests,,false,[FFAA00]最前線攻撃[-]
questAECDoomlordHordeFrontline_subtitle,quests,,false,ドゥームロードT4防衛
questAECDoomlordHordeFrontline_description,quests,,false,まず重要地点を制圧し、その後、ドゥームロードのショットガンとナイフを装備した部隊による3回の前線攻撃を食い止めろ。
questAECDoomlordHordeFrontline_offer,quests,,false,近距離攻撃：ショットガンとナイフを併用せよ。お前がいなければ、この拠点は長くは持たないだろう。
questAECDoomlordHordeFrontline_statement,quests,,false,最前線からの3回の攻撃波を撃退し、拠点を守り抜け。
questAECDoomlordHordeFrontline_response,quests,,false,AECホード ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]
questAECDoomlordHordeFrontline_completion,quests,,false,最前線撃退。激しい戦闘だった。よくやった。
questAECDoomlordHordeOverwatch_name,quests,,false,[FFAA00]オーバーウォッチ[-]
questAECDoomlordHordeOverwatch_subtitle,quests,,false,ドゥームロードT4混合ホード
questAECDoomlordHordeOverwatch_description,quests,,false,ラリーを発動し、おとりを設置した後、オーバーウォッチ隊形でスナイパーとマグナムの3つの波を撃破する。
questAECDoomlordHordeOverwatch_offer,quests,,false,オーバーウォッチチームが発見されました。集結を発動し、おとりを設置し、3つの波状攻撃の間、視線を注意深く監視してください。
questAECDoomlordHordeOverwatch_statement,quests,,false,ラリーを発動し、おとりを設置し、3つの波状攻撃でオーバーウォッチの陣形を解体せよ。
questAECDoomlordHordeOverwatch_response,quests,,false,AECホード - [FFAA00]オーバーウォッチ[-]
questAECDoomlordHordeOverwatch_completion,quests,,false,オーバーウォッチを無力化しました。優れた標的捕捉能力です。
questAECDoomlordHordeFireTeam_name,quests,,false,"[FFAA00]Fire Team[-]"
questAECDoomlordHordeFireTeam_subtitle,quests,,false,ドゥームロードT4混合ホード
questAECDoomlordHordeFireTeam_description,quests,,false,ラリーを起動し、おとりを設置した後、連携して射撃を行うピストルとマグナムの3つの波を排除する。
questAECDoomlordHordeFireTeam_offer,quests,,false,ファイアチーム、進軍開始。集結を促し、おとりを投入し、連携した3波の攻撃を耐え抜け。
questAECDoomlordHordeFireTeam_statement,quests,,false,ラリーを発動し、おとりを設置し、3つのウェーブにわたってファイアチームを排除せよ。
questAECDoomlordHordeFireTeam_response,quests,,false,AECホード - [FFAA00]ファイアチーム[-]
questAECDoomlordHordeFireTeam_completion,quests,,false,ファイアチーム撃破。完璧な作戦遂行。
questAECDoomlordHunt_name,quests,,false,[FF0000]ハント: ドゥームロード[-]
questAECDoomlordHunt_subtitle,quests,,false,ドゥームロードT5ボスハント
questAECDoomlordHunt_description,quests,,false,集結を発動し、おとりを設置し、ドゥームロードのエリート部隊による3つの混成波を生き延びた後、デモリッシュマン本人と対峙せよ。
questAECDoomlordHunt_offer,quests,,false,大規模な契約。集結を誘発し、おとりを仕掛け、精鋭部隊の混成部隊による3波の攻撃を生き延び、最後にデモリッシュマンと直接対決せよ。
questAECDoomlordHunt_statement,quests,,false,３回の攻撃を生き延び、その後デモリッシュマン本人を倒せ。
questAECDoomlordHunt_response,quests,,false,AECボス戦 - [FF0000]ハント：ザ・ドゥームロード[-]
questAECDoomlordHunt_completion,quests,,false,素晴らしい。デモリッシュマンは死んだ。ドゥームロードの時代は終わった。
questAECDoomlordHunt_obj_wave1,quests,,false,ウェーブ 1: 生き延びろ 45秒
questAECDoomlordHunt_obj_wave2,quests,,false,ウェーブ 2: 生き延びろ 45秒
questAECDoomlordHunt_obj_wave3,quests,,false,ウェーブ 3: 生き延びろ 45秒
questAECDoomlordHunt_obj_wave4,quests,,false,ウェーブ 4: 生き延びろ 45秒
questAECDoomlordHunt_obj_wave5,quests,,false,ウェーブ 5: 生き延びろ 45秒
questAECDoomlordHunt_obj_wave6,quests,,false,ウェーブ 6: 生き延びろ 45秒
questAECDoomlordHunt_obj_kill,quests,,false,ドゥームロードを倒せ：デモリッシュマン
questAECWaveChallenge_name,quests,,false,[00E5FF]100 ウェーブチャレンジ[-]
questAECWaveChallenge_subtitle,quests,,false,AEC 耐久 契約
questAECWaveChallenge_description,quests,,false,"Deploy signal lure, lock down area, 、全100強襲ウェーブを生き延びろ。 Standard ウェーブ advance every 30秒. Every fifth ウェーブ becomes a 2 minute 持ちこたえろ before 次強襲 開始."
questAECWaveChallenge_offer,quests,,false,"AEC がこの耐久試練を正式な契約として安定化させた。 ルアーを設置せよ, 生き延びろ each ウェーブ, と 持ちこたえろ line を通して every fifth-wave lockdown."
questAECWaveChallenge_statement,quests,,false,"ルアーを設置し、全100 時限 ウェーブ, と 完遂 endurance 契約 cleanly."
questAECWaveChallenge_response,quests,,false,AEC CONTRACT - [00E5FF]100 ウェーブ ENDURANCE[-]
questAECWaveChallenge_completion,quests,,false,耐久 契約 完了. All 100 ウェーブ クリアした.
buffAECWaveChallengeNextWave,,,false,"Next challenge wave"
buffAECWaveChallengeNextWaveDesc,,,false,"The next wave will arrive when this countdown ends."
questAECDoomlordSiege_name,quests,,false,[FF0000]包囲攻撃: ドゥームロード[-]
questAECDoomlordSiege_subtitle,quests,,false,ドゥームロードT5ボス包囲戦
questAECDoomlordSiege_description,quests,,false,まずPOIをクリアし、その後ドゥームロードのエリート部隊3波を生き延び、デモリッシュマンが現れたら倒せ。
questAECDoomlordSiege_offer,quests,,false,デモリッシュマンが自ら包囲戦を指揮している。３回の攻撃を耐え抜き、彼が姿を現したら倒せ。
questAECDoomlordSiege_statement,quests,,false,要塞化された拠点を３回の波状攻撃から守り抜き、その後デモリッシュマンを倒せ。
questAECDoomlordSiege_response,quests,,false,AEC ボス戦 ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]
questAECDoomlordSiege_completion,quests,,false,包囲網突破。デモリッシュマンは死亡。驚くべきことだ。
questAECDoomlordSiege_obj_kill,quests,,false,ドゥームロードを倒せ：デモリッシュマン
questAECDoomlord_obj_wave1,quests,,false,ウェーブ1：ドゥームロード軍を排除せよ
questAECDoomlord_obj_wave2,quests,,false,ウェーブ2：ドゥームロード軍を排除せよ
questAECDoomlord_obj_wave3,quests,,false,ウェーブ3：ドゥームロード軍を排除せよ
questAECDoomlord_obj_wave4,quests,,false,ウェーブ 4: 生き延びろ ドゥームロード強襲
questAECDoomlord_obj_wave5,quests,,false,ウェーブ 5: 排除せよ: ドゥームロード勢力を排除せよ
itemAECDoomlordHelmet,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Helmet[-]"
itemAECDoomlordChestplate,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Chestplate[-]"
itemAECDoomlordGauntlet,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Gauntlet[-]"
itemAECDoomlordShoulder,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Shoulder Armor[-]"
itemAECDoomlordCore,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Energy Core[-]"
itemAECDoomlordHordeBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Horde Bundle[-]"
itemAECDoomlordAssaultBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Assault Bundle[-]"
itemAECDoomlordHuntBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Hunt Bundle[-]"
itemAECDoomlordSiegeBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Siege Bundle[-]"
itemAECDoomlordContract_Grenadier,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Grenadier Horde[-]"
itemAECDoomlordContract_Rocket,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Rocket Horde[-]"
itemAECDoomlordContract_Pistol,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Pistol Horde[-]"
itemAECDoomlordContract_Shotgun,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Shotgun Defense[-]"
itemAECDoomlordContract_Sniper,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Sniper Horde[-]"
itemAECDoomlordContract_Magnum,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Magnum Defense[-]"
itemAECDoomlordContract_Knife,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Knife Defense[-]"
itemAECDoomlordContract_Demo,,,false,"[FFD700]AEC Hazard 4 |[-] [FFD700]Doomlord Contract | Demolition Squad[-]"
itemAECDoomlordContract_Frontline,,,false,"[FFD700]AEC Hazard 4 |[-] [FFD700]Doomlord Contract | Frontline Assault[-]"
itemAECDoomlordContract_Overwatch,,,false,"[FFD700]AEC Hazard 4 |[-] [FFD700]Doomlord Contract | Overwatch[-]"
itemAECDoomlordContract_FireTeam,,,false,"[FFD700]AEC Hazard 4 |[-] [FFD700]Doomlord Contract | Fire Team[-]"
itemAECDoomlordContract_Hunt,,,false,"[FF0000]AEC Hazard 5 |[-] [FFD700]Doomlord Contract | Boss Hunt[-]"
itemAECDoomlordContract_Siege,,,false,"[FF0000]AEC Hazard 5 |[-] [FFD700]Doomlord Contract | Boss Siege[-]"
itemAECDoomlordContract_100waveschallenge,,,false,"[00E5FF]AEC 100 waves challenge 0[FFD700]★[-] |[-] [FFD700]Doomlord grenadier[-]"
itemAECDoomlordContract_100waveschallenge_minion,,,false,"[00E5FF]AEC 100 waves challenge 0[FFD700]★[-] |[-] [FFD700]Doomlord Gun[-]"
itemAECDoomlordContract_100waveschallenge_minion02,,,false,"[00E5FF]AEC 100 waves challenge 0[FFD700]★[-] |[-] [FFD700]Doomlord Rocket[-]"
itemAECDoomlordHelmet_desc,,,false,"Doomlord Demolishman's armored helmet. A valued war trophy."
itemAECDoomlordChestplate_desc,,,false,"The chest armor of the Doomlord. Forged for one purpose: surviving everything."
itemAECDoomlordGauntlet_desc,,,false,"A combat gauntlet from Doomlord's elite forces."
itemAECDoomlordShoulder_desc,,,false,"Heavy shoulder armor stripped from a Doomlord trooper."
itemAECDoomlordCore_desc,,,false,"The energy core ripped from Demolishman himself. Extremely rare."
itemAECDoomlordHordeBundle_desc,,,false,"A reward cache from Doomlord Horde contracts. Contains useful supplies and possible trophies."
itemAECDoomlordAssaultBundle_desc,,,false,"An assault-grade reward bundle from Doomlord mixed-team contracts."
itemAECDoomlordHuntBundle_desc,,,false,"Elite hunting reward from a Doomlord Hunt contract. Chance for rare trophies."
itemAECDoomlordSiegeBundle_desc,,,false,"Siege reward bundle from a Doomlord Siege contract. Best chance for the Core."
airdrop_AEC_GenericRewardAmmo,entityclasses,Entity,false,"AEC Endless Ammo Drop"
airdrop_AEC_GenericRewardT01,entityclasses,Entity,false,"AEC Endless Reward Cache T01"
airdrop_AEC_GenericRewardT02,entityclasses,Entity,false,"AEC Endless Reward Cache T02"
airdrop_AEC_GenericRewardT03,entityclasses,Entity,false,"AEC Endless Reward Cache T03"
airdrop_AEC_GenericRewardT04,entityclasses,Entity,false,"AEC Endless Reward Cache T04"
airdrop_AEC_GenericRewardT05,entityclasses,Entity,false,"AEC Endless Reward Cache T05"
airdrop_AEC_GenericRewardT06,entityclasses,Entity,false,"AEC Endless Reward Cache T06"
airdrop_AEC_GenericRewardT07,entityclasses,Entity,false,"AEC Endless Reward Cache T07"
airdrop_AEC_GenericRewardT08,entityclasses,Entity,false,"AEC Endless Reward Cache T08"
airdrop_AEC_GenericRewardT09,entityclasses,Entity,false,"AEC Endless Reward Cache T09"
airdrop_AEC_GenericRewardT10,entityclasses,Entity,false,"AEC Endless Reward Cache T10"
airdrop_AEC_GenericRewardT11,entityclasses,Entity,false,"AEC Endless Reward Cache T11"
airdrop_AEC_GenericRewardT12,entityclasses,Entity,false,"AEC Endless Reward Cache T12"
airdrop_AEC_GenericRewardT13,entityclasses,Entity,false,"AEC Endless Reward Cache T13"
