Key,Source,Context,Changes,English
buffAECHeatL3T13,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T14,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T15,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL4T5,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T6,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T7,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T8,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T9,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T10,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T11,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T12,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T13,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T14,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL4T15,buffs,Buff,,"[FF5000]Hazard 4★[-]"
buffAECHeatL5T5,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T6,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T7,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T8,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T9,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T10,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T11,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T12,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T13,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T14,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatL5T15,buffs,Buff,,"[FF0000]Hazard 5★[-]"
buffAECHeatDescL1,buffs,Buff,,"Low zombie escalation nearby. Activity is building up. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]"
buffAECHeatDescL2,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]"
buffAECHeatDescL3,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]"
buffAECHeatDescL4,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]"
buffAECHeatDescL5,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]"
buffAECHeatL1T5Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T6Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T7Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T8Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T9Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T10Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T11Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T12Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T13Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T14Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL1T15Desc,buffs,Buff,,"Low zombie escalation nearby. Activity is building up."
buffAECHeatL2T5Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T6Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T7Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T8Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T9Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T10Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T11Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T12Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T13Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T14Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL2T15Desc,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position."
buffAECHeatL3T5Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T6Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T7Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T8Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T9Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T10Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T11Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T12Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T13Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T14Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL3T15Desc,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant."
buffAECHeatL4T5Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T6Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T7Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T8Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T9Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T10Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T11Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T12Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T13Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T14Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL4T15Desc,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses."
buffAECHeatL5T5Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T6Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T7Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T8Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T9Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T10Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T11Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T12Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T13Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T14Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."
buffAECHeatL5T15Desc,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately."

#  AEC Tier-Quest Items 
aecQuestOrderT05,items,Item Name,,"[AEC] Clear Order - Tier 05"
aecQuestOrderT05Desc,items,Item Desc,,"Use to start a Tier 05 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT06,items,Item Name,,"[AEC] Clear Order - Tier 06"
aecQuestOrderT06Desc,items,Item Desc,,"Use to start a Tier 06 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT07,items,Item Name,,"[AEC] Clear Order - Tier 07"
aecQuestOrderT07Desc,items,Item Desc,,"Use to start a Tier 07 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT08,items,Item Name,,"[AEC] Clear Order - Tier 08"
aecQuestOrderT08Desc,items,Item Desc,,"Use to start a Tier 08 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT09,items,Item Name,,"[AEC] Clear Order - Tier 09"
aecQuestOrderT09Desc,items,Item Desc,,"Use to start a Tier 09 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT10,items,Item Name,,"[AEC] Clear Order - Tier 10"
aecQuestOrderT10Desc,items,Item Desc,,"Use to start a Tier 10 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT11,items,Item Name,,"[AEC] Clear Order - Tier 11"
aecQuestOrderT11Desc,items,Item Desc,,"Use to start a Tier 11 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT12,items,Item Name,,"[AEC] Clear Order - Tier 12"
aecQuestOrderT12Desc,items,Item Desc,,"Use to start a Tier 12 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT13,items,Item Name,,"[AEC] Clear Order - Tier 13"
aecQuestOrderT13Desc,items,Item Desc,,"Use to start a Tier 13 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT14,items,Item Name,,"[AEC] Clear Order - Tier 14"
aecQuestOrderT14Desc,items,Item Desc,,"Use to start a Tier 14 AEC zombie clear mission. Return to any trader to claim rewards."
aecQuestOrderT15,items,Item Name,,"[AEC] Clear Order - Tier 15"
aecQuestOrderT15Desc,items,Item Desc,,"Use to start a Tier 15 AEC zombie clear mission. Return to any trader to claim rewards."

#  AEC Tier-Quest Names & Offers 
aec_quest_T05_name,quests,Quest,,[AEC]  ティア 05一掃
aec_quest_T05_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 05のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T06_name,quests,Quest,,[AEC]  ティア 06一掃
aec_quest_T06_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 06のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T07_name,quests,Quest,,[AEC]  ティア 07一掃
aec_quest_T07_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 07のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T08_name,quests,Quest,,[AEC]  ティア 08一掃
aec_quest_T08_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 08のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T09_name,quests,Quest,,[AEC]  ティア 09一掃
aec_quest_T09_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 09のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T10_name,quests,Quest,,[AEC]  ティア 10一掃
aec_quest_T10_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 10のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T11_name,quests,Quest,,[AEC]  ティア 11一掃
aec_quest_T11_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 11のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T12_name,quests,Quest,,[AEC]  ティア 12一掃
aec_quest_T12_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 12のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T13_name,quests,Quest,,[AEC]  ティア 13一掃
aec_quest_T13_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 13のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T14_name,quests,Quest,,[AEC]  ティア 14一掃
aec_quest_T14_offer,quests,Quest,,敵の巣窟を一掃せよ。情報機関は、 ティア 14のAEC敵が大量に生息する地域を特定した。その場所を制圧し、報酬を受け取りに戻れ。
aec_quest_T15_name,quests,Quest,,[AEC]  ティア 15一掃
aec_quest_T15_offer,quests,Quest,,最終掃討作戦。AECの敵対勢力が最大数確認されました。脅威レベルは ティア 15です。この場所を制圧し、報酬を受け取りに戻ってください。

#  AEC Tier-Quest Shared Description 
aec_quest_clear_desc,quests,Quest,,AECゾンビ掃討命令：すべてのPOI（重要地点）のスリーパーは、この命令に合致するAEC級の敵に置き換えられます。POIに到達し、すべてのゾンビを排除して、いずれかのトレーダーのところに戻って報酬を受け取ってください。

# ── AEC Tier×Size Quest Items (TX_AY) ───────────────────────────────────────
aec_base_name,quests,Quest,,[AEC] 基地クエスト
aec_base_offer,quests,Quest,,AECの任務は保留中です。
aec_quest_T00_A1_name,quests,Quest,,[AEC] T00 基本掃討 | 小
aec_quest_T00_A1_offer,quests,Quest,,汚染を一掃せよ。小の場所が次の敵に指定された: ベーシック AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T00_A2_name,quests,Quest,,[AEC] T00 基本掃討 | 中
aec_quest_T00_A2_offer,quests,Quest,,汚染を一掃せよ。中の場所が次の敵に指定された: ベーシック AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T00_A3_name,quests,Quest,,[AEC] T00 基本掃討 | 大
aec_quest_T00_A3_offer,quests,Quest,,汚染を一掃せよ。大の場所が次の敵に指定された: ベーシック AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T00_A4_name,quests,Quest,,[AEC] T00 基本掃討 | 巨大
aec_quest_T00_A4_offer,quests,Quest,,汚染を一掃せよ。巨大の場所が次の敵に指定された: ベーシック AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T00_A5_name,quests,Quest,,[AEC] T00 基本掃討 | 超巨大
aec_quest_T00_A5_offer,quests,Quest,,汚染を一掃せよ。超巨大の場所が次の敵に指定された: ベーシック AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T01_A1_name,quests,Quest,,[AEC] T01 フェラル掃討 | 小
aec_quest_T01_A1_offer,quests,Quest,,汚染を一掃せよ。小の場所が次の敵に指定された: フェラル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T01_A2_name,quests,Quest,,[AEC] T01 フェラル掃討 | 中
aec_quest_T01_A2_offer,quests,Quest,,汚染を一掃せよ。中の場所が次の敵に指定された: フェラル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T01_A3_name,quests,Quest,,[AEC] T01 フェラル掃討 | 大
aec_quest_T01_A3_offer,quests,Quest,,汚染を一掃せよ。大の場所が次の敵に指定された: フェラル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T01_A4_name,quests,Quest,,[AEC] T01 フェラル掃討 | 巨大
aec_quest_T01_A4_offer,quests,Quest,,汚染を一掃せよ。巨大の場所が次の敵に指定された: フェラル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T01_A5_name,quests,Quest,,[AEC] T01 フェラル掃討 | 超巨大
aec_quest_T01_A5_offer,quests,Quest,,汚染を一掃せよ。超巨大の場所が次の敵に指定された: フェラル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T02_A1_name,quests,Quest,,[AEC] T02 レディエイテッド掃討 | 小
aec_quest_T02_A1_offer,quests,Quest,,汚染を一掃せよ。小の場所が次の敵に指定された: レディエイテッド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T02_A2_name,quests,Quest,,[AEC] T02 レディエイテッド掃討 | 中
aec_quest_T02_A2_offer,quests,Quest,,汚染を一掃せよ。中の場所が次の敵に指定された: レディエイテッド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T02_A3_name,quests,Quest,,[AEC] T02 レディエイテッド掃討 | 大
aec_quest_T02_A3_offer,quests,Quest,,汚染を一掃せよ。大の場所が次の敵に指定された: レディエイテッド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T02_A4_name,quests,Quest,,[AEC] T02 レディエイテッド掃討 | 巨大
aec_quest_T02_A4_offer,quests,Quest,,汚染を一掃せよ。巨大の場所が次の敵に指定された: レディエイテッド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T02_A5_name,quests,Quest,,[AEC] T02 レディエイテッド掃討 | 超巨大
aec_quest_T02_A5_offer,quests,Quest,,汚染を一掃せよ。超巨大の場所が次の敵に指定された: レディエイテッド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T03_A1_name,quests,Quest,,[AEC] T03 チャージド掃討 | 小
aec_quest_T03_A1_offer,quests,Quest,,汚染を一掃せよ。小の場所が次の敵に指定された: チャージド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T03_A2_name,quests,Quest,,[AEC] T03 チャージド掃討 | 中
aec_quest_T03_A2_offer,quests,Quest,,汚染を一掃せよ。中の場所が次の敵に指定された: チャージド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T03_A3_name,quests,Quest,,[AEC] T03 チャージド掃討 | 大
aec_quest_T03_A3_offer,quests,Quest,,汚染を一掃せよ。大の場所が次の敵に指定された: チャージド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T03_A4_name,quests,Quest,,[AEC] T03 チャージド掃討 | 巨大
aec_quest_T03_A4_offer,quests,Quest,,汚染を一掃せよ。巨大の場所が次の敵に指定された: チャージド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T03_A5_name,quests,Quest,,[AEC] T03 チャージド掃討 | 超巨大
aec_quest_T03_A5_offer,quests,Quest,,汚染を一掃せよ。超巨大の場所が次の敵に指定された: チャージド AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T04_A1_name,quests,Quest,,[AEC] T04 インフェルナル掃討 | 小
aec_quest_T04_A1_offer,quests,Quest,,汚染を一掃せよ。小の場所が次の敵に指定された: インフェルナル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T04_A2_name,quests,Quest,,[AEC] T04 インフェルナル掃討 | 中
aec_quest_T04_A2_offer,quests,Quest,,汚染を一掃せよ。中の場所が次の敵に指定された: インフェルナル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T04_A3_name,quests,Quest,,[AEC] T04 インフェルナル掃討 | 大
aec_quest_T04_A3_offer,quests,Quest,,汚染を一掃せよ。大の場所が次の敵に指定された: インフェルナル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T04_A4_name,quests,Quest,,[AEC] T04 インフェルナル掃討 | 巨大
aec_quest_T04_A4_offer,quests,Quest,,汚染を一掃せよ。巨大の場所が次の敵に指定された: インフェルナル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aec_quest_T04_A5_name,quests,Quest,,[AEC] T04 インフェルナル掃討 | 超巨大
aec_quest_T04_A5_offer,quests,Quest,,汚染を一掃せよ。超巨大の場所が次の敵に指定された: インフェルナル AEC 敵性体。制圧し、いずれかの商人に戻って報酬を受け取れ。
aecQuestOrderT05A1,items,Item Name,,[FFD700]AEC[-] [AAAAAA]Clear Order T05 A1 (Small)[-]
aecQuestOrderT05A1Desc,items,Item Desc,,"Use to start a Tier 05 AEC clear in a Small building. Return to any trader to claim rewards."
aec_quest_T05_A1_name,quests,Quest,,[AEC] T05 一掃 | 小型
aec_quest_T05_A1_offer,quests,Quest,,敵対勢力を一掃せよ。小規模な拠点に ティア 05のAEC敵対勢力が出現した。拠点を制圧し、いずれかのトレーダーのところへ戻って報酬を受け取れ。
aecQuestOrderT05A2,items,Item Name,,[FFD700]AEC[-] [AAAAAA]Clear Order T05 A2 (Medium)[-]
aecQuestOrderT05A2Desc,items,Item Desc,,"Use to start a Tier 05 AEC clear in a Medium building. Return to any trader to claim rewards."
aec_quest_T05_A2_name,quests,Quest,,[AEC] T05 一掃 | 中
aec_quest_T05_A2_offer,quests,Quest,,敵の侵入を阻止せよ。中規模地点に ティア 05のAEC敵対勢力が出現した。そこを制圧し、いずれかのトレーダーのところへ戻って報酬を受け取れ。
aecQuestOrderT05A3,items,Item Name,,[FFD700]AEC[-] [AAAAAA]Clear Order T05 A3 (Large)[-]
aecQuestOrderT05A3Desc,items,Item Desc,,"Use to start a Tier 05 AEC clear in a Large building. Return to any trader to claim rewards."
aec_quest_T05_A3_name,quests,Quest,,[AEC] T05 一掃 | ラージ
aec_quest_T05_A3_offer,quests,Quest,,敵対勢力を一掃せよ。大規模な拠点に ティア 05のAEC敵対勢力が出現した。拠点を制圧し、いずれかのトレーダーのところへ戻って報酬を受け取れ。
aecQuestOrderT05A4,items,Item Name,,[FFD700]AEC[-] [AAAAAA]Clear Order T05 A4 (Huge)[-]
aecQuestOrderT05A4Desc,items,Item Desc,,"Use to start a Tier 05 AEC clear in a Huge building. Return to any trader to claim rewards."
aec_quest_T05_A4_name,quests,Quest,,[AEC] T05 一掃 | 巨大
aec_quest_T05_A4_offer,quests,Quest,,敵の巣窟を一掃せよ。巨大なエリアに ティア 05のAEC敵対勢力が出現した。そこを制圧し、いずれかのトレーダーのところへ戻って報酬を受け取れ。
aecQuestOrderT05A5,items,Item Name,,[FFD700]AEC[-] [AAAAAA]Clear Order T05 A5 (Massive)[-]
aecQuestOrderT05A5Desc,items,Item Desc,,"Use to start a Tier 05 AEC clear in a Massive building. Return to any trader to claim rewards."
aec_quest_T05_A5_name,quests,Quest,,[AEC] T05 一掃 | マッシブ
aec_quest_T05_A5_offer,quests,Quest,,敵対勢力を一掃せよ。大規模な拠点が ティア 05のAEC敵対勢力で占拠されている。拠点を制圧し、いずれかのトレーダーのところへ戻って報酬を受け取れ。
aecQuestOrderT06A1,items,Item Name,,[FFD700]AEC[-] [88CC88]Clear Order T06 A1 (Small)[-]
aecQuestOrderT06A1Desc,items,Item Desc,,"Use to start a Tier 06 AEC clear in a Small building. Return to any trader to claim rewards."
aec_quest_T06_A1_name,quests,Quest,,[AEC] T06 一掃 | 小型
aec_quest_T06_A1_offer,quests,Quest,,敵の侵入を阻止せよ。小規模な地点に ティア 06のAEC敵対勢力が出現した。そこを制圧し、いずれかのトレーダーのところへ戻って報酬を受け取れ。
aecQuestOrderT06A2,items,Item Name,,[FFD700]AEC[-] [88CC88]Clear Order T06 A2 (Medium)[-]
aecQuestOrderT06A2Desc,items,Item Desc,,"Use to start a Tier 06 AEC clear in a Medium building. Return to any trader to claim rewards."
aec_quest_T06_A2_name,quests,Quest,,[AEC] T06 一掃 | 中
aec_quest_T06_A2_offer,quests,Quest,,敵の侵入を阻止せよ。中規模地点に ティア 06のAEC敵対勢力が出現した。そこを制圧し、いずれかのトレーダーのところへ戻って報酬を受け取れ。
aecQuestOrderT06A3,items,Item Name,,[FFD700]AEC[-] [88CC88]Clear Order T06 A3 (Large)[-]
aecQuestOrderT06A3Desc,items,Item Desc,,"Use to start a Tier 06 AEC clear in a Large building. Return to any trader to claim rewards."
aec_quest_T06_A3_name,quests,Quest,,[AEC] T06 一掃 | ラージ
aec_quest_T06_A3_offer,quests,Quest,,敵対勢力を一掃せよ。大規模な拠点に ティア 06のAEC敵対勢力が出現した。拠点を制圧し、いずれかのトレーダーのところへ戻って報酬を受け取れ。
